URGENTE	aqcs	O
DECORADORAS	ncfp	B-JOB
TIENDAS	ncfp	B-ORG
GLITTER	np00	I-ORG
JESUS	np00	B-LUG
MARIA	np00	I-LUG
.	fp	O

Empresa	ncfs	O
dedicada	vmp	O
a	sp	O
la	da0fs	O
venta	ncfs	O
de	sp	O
accesorios	ncmp	O
para	sp	O
damas	ncfp	O
está	vmi	O
en	sp	O
búsqueda	ncfs	O
de	sp	O
decoradoras	ncms	B-JOB
para	sp	O
sus	dp3cp	O
tiendas	ncfp	O
ubicadas	vmp	O
en	sp	O
la	da0fs	O
zona	ncfs	O
de	sp	O
JESÚS	np00	B-LUG
MARÍA	np00	I-LUG

Requisitos	ncmp	O
:	fd	O

Sexo	ncms	O
femenino	aqms	O
.	fp	O

Edad	ncfs	O
:	fd	O
18	z	O
a	sp	O
28	z	O
años	ncmp	O
.	fp	O

Indispensable	aqcs	O
contar	vmn	O
con	sp	O
estudios	ncmp	O
truncos	aqmp	O
o	cc	O
culminados	aqmp	O
en	sp	O
diseño	np00	B-CARR
de	sp	I-CARR
modas	np00	I-CARR
,	fc	O
diseño	np00	B-CARR
de	sp	I-CARR
interiores	np00	I-CARR
,	fc	O
diseño	np00	B-CARR
grafico	np00	I-CARR
o	cc	O
afines	aqcp	B-CARR
y/o	cc	O
tener	vmn	O
experiencia	ncfs	O
no	rn	O
menor	aqcs	O
a	sp	O
3	z	O
meses	ncmp	O
en	sp	O
decoración	ncfs	B-FUN
o	cc	I-FUN
armados	ncms	I-FUN
de	sp	I-FUN
tiendas	ncfp	I-FUN
,	fc	I-FUN
maniquíes	ncmp	I-FUN
,	fc	I-FUN
combinación	ncfs	I-FUN
de	sp	I-FUN
vestimenta	ncfs	I-FUN
y	cc	I-FUN
accesorios	ncmp	I-FUN
,	fc	I-FUN
escaparatismo	ncms	I-FUN
entre	sp	I-FUN
otros	pi0mp	I-FUN
.	fp	O

Horarios	ncmp	O
:	fd	O
de	sp	O
lunes	w	B-DATE
a	sp	I-DATE
viernes	w	I-DATE
48	z	B-MISC
horas	ncfp	I-MISC
semanales	aqcp	I-MISC
con	sp	O
horario	ncms	B-MISC
rotativo	ncms	I-MISC
.	fp	O

Características	ncfp	O
:	fd	O
persona	ncfs	O
dinámica	aqfs	B-REQ
,	fc	O
rápida	aqfs	B-REQ
,	fc	O
proactiva	aqfs	B-REQ
,	fc	O
detallista	aqcs	B-REQ
,	fc	O
desenvuelta	aqfs	B-REQ
,	fc	O
con	sp	O
orientación	ncfs	B-REQ
al	sp	I-REQ
cliente	nccs	I-REQ
,	fc	O
deseable	aqcs	O
contar	vmn	O
con	sp	O
experiencia	ncfs	O
en	sp	O
ventas	ncfp	B-AREA
y/o	cc	O
trato	ncms	B-REQ
directo	aqms	I-REQ
con	sp	I-REQ
clientes	nccp	I-REQ
,	fc	O
con	sp	O
iniciativa	ncfs	B-REQ
e	cc	O
innovación	ncfs	B-REQ
y	cc	O
que	pr0cn	O
guste	vms	O
de	sp	O
la	da0fs	O
decoración	ncfs	B-REQ
y/o	cc	O
manualidades	ncfp	B-REQ
.	fp	O

SE	p0000	O
OFRECE	vmi	O
:	fd	O

Remuneración	ncfs	O
:	fd	O
S/.800	zm	B-SAL

Ingreso	ncms	O
directo	aqms	O
a	sp	O
planilla	ncfs	B-BEN
.	fp	O

Beneficios	ncmp	B-BEN
de	sp	I-BEN
ley	ncfs	I-BEN
;	fx	O
ingreso	ncms	O
a	sp	O
planilla	ncfs	B-BEN
,	fc	O
CTS	np00	B-BEN
,	fc	O
gratificaciones	ncfp	B-BEN
,	fc	O
utilidades	ncfp	B-BEN
,	fc	O
vacaciones	ncfp	B-BEN
,	fc	O
entre	sp	O
otros	pi0mp	O
.	fp	O

Ofrecemos	vmi	O
línea	ncfs	B-BEN
de	sp	I-BEN
carrera	ncfs	I-BEN
.	fp	O

Formar	vmi	O
parte	ncfs	O
de	sp	O
una	di0fs	O
empresa	ncfs	O
sólida	aqfs	O
y	cc	O
en	sp	O
vías	ncfp	O
de	sp	O
crecimiento	ncms	O
.	fp	O

Envío	ncms	O
de	sp	O
CV	np00	O
indicando	vmg	O
en	sp	O
asunto	ncms	O
:	fd	O
DECOJM	np00	O
al	sp	O
correo	ncms	O
mencionado	aqms	O
xxxxxxxxx	np00	B-MISC
#	fz	I-MISC
xxxxxxxx	np00	I-MISC
.	fp	I-MISC
xxx	np00	I-MISC

*	fz	O
Organización	ncfs	B-FUN
de	sp	I-FUN
la	da0fs	I-FUN
tienda	ncfs	I-FUN
de	sp	I-FUN
acuerdo	ncms	I-FUN
a	sp	I-FUN
los	da0mp	I-FUN
tendencias	ncfp	I-FUN
,	fc	I-FUN
los	da0mp	I-FUN
colores	ncmp	I-FUN
y	cc	I-FUN
la	da0fs	I-FUN
temporada	ncfs	I-FUN
o	cc	I-FUN
a	sp	I-FUN
cualquier	aqms	I-FUN
nueva	aqfs	I-FUN
propuesta	ncfs	I-FUN
de	sp	I-FUN
moda	ncfs	I-FUN
que	pr0cn	I-FUN
aparesca	vmi	I-FUN

*	fz	O
visual	aqcs	B-REQ
merchandising	ncms	I-REQ

*	fz	O
Escaparatismo	ncms	B-REQ

Técnico	ncms	B-REQ
Trunco	aqms	O
en	sp	O
Diseño	np00	B-CARR
Textil	np00	I-CARR
.	fp	O

Experiencia	ncfs	O
:	fd	O

en	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
Otros	pi0mp	O
con	sp	O
3	z	O
meses	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Experiencia	ncfs	O
:	fd	O

en	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
Ventas	ncfp	B-AREA
con	sp	O
3	z	O
meses	ncmp	O
de	sp	O
experiencia	ncfs	O
.	fp	O

Experiencia	ncfs	O
:	fd	O

en	sp	O
el	da0ms	O
área	ncfs	O
de	sp	O
Otros	pi0mp	O
.	fp	O

Sueldo	ncms	O
:	fd	O
Entre	sp	B-SAL
S/.751	zm	I-SAL
y	cc	I-SAL
S/.1500	zm	I-SAL

