controlador	nc	B-JOB
de	sp	I-JOB
playa	nc	I-JOB
de	sp	I-JOB
estacionamiento	nc	I-JOB
-	fg	O
arequipa	np	B-LUG

funciones	nc	O
:	fd	O

requerimientos	nc	O
:	fd	O

contar	vmn	O
con	sp	O
mínimo	adj	O
secundaria	nc	O
completa	adj	O

*	fz	O
mínimo	adj	O
de	sp	O
6	z	O
meses	nc	O
en	sp	O
puestos	nc	O
similares	adj	O
(	fpa	O
no	rn	O
indispensable	adj	O
)	fpt	O
.	fp	O

tener	vmn	O
disponibilidad	nc	O
inmediata	adj	O
y	cc	O
a	sp	O
tiempo	nc	O
completo	adj	O

conocimiento	nc	O
en	sp	O
manejo	nc	O
de	sp	O
automóviles	nc	B-REQ

